apls_count,atss_count,bloc_count,bloc_count_relative,cloc_count,cloc_count_relative,dpt_count,etp_count,file,loc_count,nbeh_count,nbeh_count_relative,nbl_count,ncd_count,ncmd_count,nco_count,ndk_count,ndk_count_occurrences,ndm_count,ndm_count_occurrences,nemd_count,nemd_count_relative,nfl_count,nfmd_count,nfmd_count_relative,nicd_count,nierr_count,nimpp_count,nimpr_count,nimpt_count,ninc_count,nincr_count,ninct_count,nincv_count,niu_count,nkeys_count,nlk_count,nlo_count,nlp_count,nmd_count,nmo_count,nnnv_count,nnnv_count_relative,nnwv_count,nnwv_count_relative,npl_count,npnn_count,npnn_count_relative,npun_count,npun_count_relative,npvr_count,nrgv_count,nrl_count,nrvr_count,nscm_count,nsh_count,ntkn_count,ntnn_count,ntnn_count_relative,nts_count,ntun_count,ntun_count_relative,ntvr_count,nun_count,nun_count_relative,nvr_count,y
,9,0,0,0,0,2,-6.71,CentOS-PaaS-SIG__linchpin__e74a698e65adc177cc558f7c5853315617ed4b29__linchpin_provision_roles_libvirt_tasks_provision_libvirt_node.yml,315,0,0,0,174,5,54,1,2,0,0,22,0.37,35,0,0,0,4,0,0,0,2,0,1,0,,252,1,30,22,9,0,37,0.9,4,0.1,,,,,,,,,,0,8,1292,1,0.03,38,31,0.82,51,35,0.85,,0
,5,0,0,1,0.03,2,-5.46,iiab__iiab__039b584fb2251a5c9f9eb2555e519dd5049bb21e__roles_network_tasks_sysd-netd-debian.yml,33,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,33,0,4,0,3,0,9,1,0,0,,,,,,,,,,0,0,105,0,0,7,7,1,0,9,1,,0
,12,0,0,76,0.62,2,-6.94,iiab__iiab__370267b1d95a0923c8ea7fba513c11b5c09afc9f__roles_openvpn_tasks_main.yml,123,0,0,0,25,0,5,0,0,0,0,5,0.28,0,0,0,0,0,0,0,0,0,0,0,0,,141,0,7,5,6,0,15,0.94,1,0.06,,,,,,,,,,0,0,444,0,0,13,13,1,15,14,0.88,,0
,10,0,0,13,0.08,1,-6.52,nusenu__ansible-relayor__850b64e62ec69d7b4d32f0ad9258e608b0e50ca2__tasks_configure.yml,161,0,0,0,26,0,10,0,0,0,0,25,0.64,5,0,0,0,1,0,0,0,0,0,0,0,,77,0,3,11,4,0,14,1,0,0,,,,,,,,,,0,3,456,0,0,14,14,1,15,14,1,,0
,34,0,0,5,0.04,3,-6.32,CentOS-PaaS-SIG__linchpin__27c4d70900f2ecdf339806067d61a04f5dceb45b__linchpin_provision_roles_beaker_tasks_provision_resource_group.yml,127,0,0,1,49,0,9,0,0,0,0,5,0.71,33,0,0,0,1,0,0,0,0,0,0,0,,117,0,1,10,1,0,21,1,0,0,,,,,,,,,,0,0,494,1,0.25,4,3,0.75,33,16,0.76,,0
,12,1,0.02,53,0.95,2,-6.4,cloudalchemy__ansible-grafana__d1b9704f48a66cee4aca0d35affd9f58497ea5a3__tasks_dashboards.yml,56,0,0,0,15,1,2,1,1,0,0,4,0.44,1,0,0,0,0,0,0,0,0,0,0,0,,53,1,0,4,5,0,5,1,0,0,,,,,,,,,,1,0,181,0,0,5,5,1,11,5,1,,0
,4,0,0,2,0.07,2,-5.48,geerlingguy__ansible-role-java__235844ffcf9e05ca966fb44656fb495f36d16a2e__tasks_main.yml,28,0,0,0,14,0,11,0,0,0,0,3,0.27,1,0,0,0,0,0,0,0,3,0,0,3,,28,0,3,0,4,0,5,1,0,0,,,,,,,,,,0,0,105,3,0.38,8,5,0.62,5,5,1,,0
67,7,0,0,0,0,3,-6.15,dell__redfish-ansible-module__58b8bf510db8825d18378a2d5132a403d40a10bd__playbooks_firmware_update.yml,68,0,0,0,13,0,4,0,0,0,0,3,0.38,3,0,0,0,1,0,0,0,0,0,0,0,0,52,0,0,3,4,0,9,1,0,0,1,0,0,1,1,0,4,0,0,0,1,163,1,0.11,9,8,0.89,12,9,1,0,0
102,12,0,0,0,0,3,-6.17,ansible__molecule__d5255917c11d10ed161f6ee346e645222f22af69__molecule_provisioner_ansible_playbooks_docker_create.yml,91,0,0,0,63,0,7,0,0,0,0,9,0.56,34,0,0,0,0,0,0,0,0,0,0,0,0,86,0,4,8,7,0,9,0.69,4,0.31,1,0,0,1,1,0,4,0,0,0,0,417,0,0,8,8,1,43,13,1,0,0
,4,0,0,0,0,2,-5.99,iiab__iiab__4004d6c4dd98d1ecd2406a82fc2a82eff4ad06c9__roles_iiab-admin_tasks_main.yml,33,0,0,0,11,0,4,0,0,0,0,1,0.12,0,0,0,0,0,0,0,0,2,0,0,0,,25,0,7,1,5,0,5,1,0,0,,,,,,,,,,0,0,116,2,0.29,7,5,0.71,5,5,1,,0
