,atss_count,bloc_count,cloc_count,dpt_count,etp_count,loc_count,nbeh_count,nbl_count,ncd_count,ncmd_count,nco_count,ndk_count,ndk_count_occurrences,ndm_count,ndm_count_occurrences,nemd_count,nfl_count,nfmd_count,nicd_count,nierr_count,nimpr_count,nimpt_count,ninc_count,nincr_count,ninct_count,nincv_count,nkeys_count,nlk_count,nlo_count,nlp_count,nmd_count,nnnv_count,nnwv_count,nsh_count,ntkn_count,ntnn_count,nts_count,ntun_count,ntvr_count,nun_count,clusters
10,5.0,0,0,2,-3.88,10,0.0,0.0,7,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0,0.0,1.0,0,2,0.0,34,0.0,2.0,2.0,3.0,2.0,0
11,4.0,0,0,2,-3.28,4,0.0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0.0,1.0,1,0,0.0,11,0.0,1.0,1.0,1.0,1.0,0
12,6.0,0,0,2,-6.21,61,0.0,0.0,29,0.0,5,1,1,0.0,0.0,3.0,11,0.0,0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,52,0,1,3.0,6.0,7,1,3.0,228,3.0,10.0,7.0,19.0,8.0,1
13,4.0,0,0,2,-4.23,12,0.0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,0.0,2.0,4,2,0.0,37,0.0,3.0,3.0,2.0,6.0,0
14,3.0,0,0,2,-5.8,25,0.0,0.0,10,2.0,4,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,3,0.0,7.0,8,0,0.0,109,0.0,8.0,6.0,5.0,6.0,0
15,6.0,0,0,2,-5.23,43,0.0,0.0,8,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40,0,0,1.0,6.0,7,4,0.0,121,0.0,7.0,7.0,7.0,11.0,0
16,2.0,0,0,1,-3.88,5,0.0,0.0,1,0.0,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,0,0,0.0,2.0,2,0,0.0,16,0.0,2.0,2.0,0.0,2.0,0
17,7.0,0,0,3,-3.66,7,0.0,1.0,0,0.0,0,1,1,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,1,0,0.0,14,1.0,1.0,0.0,0.0,1.0,0
18,8.0,0,0,2,-5.87,47,0.0,0.0,13,0.0,0,0,0,0.0,0.0,0.0,2,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0,0,0.0,3.0,5,2,1.0,189,1.0,6.0,5.0,7.0,5.0,1
19,8.0,0,0,2,-4.98,25,0.0,0.0,8,0.0,6,0,0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,2,0.0,1.0,4,0,0.0,69,0.0,3.0,3.0,4.0,4.0,0
20,3.0,0,0,2,-4.21,10,0.0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0,0.0,3.0,3,0,1.0,25,0.0,3.0,3.0,2.0,3.0,0
21,4.0,0,0,1,-3.48,18,0.0,0.0,4,0.0,2,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,14,0,2,0.0,1.0,5,0,0.0,35,0.0,5.0,5.0,0.0,5.0,0
22,4.0,3,0,2,-5.44,35,0.0,0.0,8,2.0,0,0,0,0.0,0.0,2.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0,1.0,4.0,5,1,2.0,129,4.0,8.0,4.0,7.0,6.0,0
23,11.0,1,0,1,-4.88,11,0.0,0.0,2,1.0,0,0,0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,1.0,1.0,1,0,0.0,32,0.0,1.0,1.0,4.0,1.0,0
24,11.0,0,0,2,-6.1,159,0.0,0.0,62,2.0,5,0,0,0.0,0.0,6.0,0,0.0,70,0.0,0.0,0.0,2.0,0.0,0.0,0.0,94,6,1,6.0,6.0,15,2,0.0,675,0.0,15.0,15.0,7.0,17.0,3
25,6.0,0,0,2,-6.01,40,0.0,0.0,18,4.0,9,0,0,0.0,0.0,0.0,1,0.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0,5,0.0,4.0,7,0,1.0,189,0.0,7.0,7.0,8.0,7.0,1
26,9.0,0,0,2,-5.88,44,0.0,0.0,15,2.0,5,0,0,0.0,0.0,3.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0,2,3.0,4.0,5,0,0.0,170,0.0,5.0,5.0,5.0,5.0,4
27,8.0,0,0,2,-4.76,25,0.0,0.0,12,0.0,0,0,0,0.0,0.0,3.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,3.0,1.0,3,0,0.0,91,0.0,3.0,3.0,6.0,3.0,0
28,15.0,0,0,3,-5.06,15,0.0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,0,0.0,1.0,1,0,0.0,36,0.0,1.0,1.0,2.0,1.0,0
29,5.0,0,0,1,-5.37,16,0.0,0.0,4,3.0,4,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,2,0.0,1.0,3,0,0.0,78,0.0,3.0,3.0,2.0,3.0,0
30,11.0,0,0,3,-4.72,11,0.0,1.0,1,0.0,0,0,0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2,0,0.0,33,1.0,1.0,0.0,1.0,2.0,0
31,4.0,0,0,3,-5.62,43,0.0,0.0,6,0.0,2,0,0,0.0,0.0,1.0,0,0.0,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,39,0,2,1.0,3.0,10,0,5.0,141,0.0,10.0,10.0,2.0,10.0,0
32,2.0,0,0,1,-2.93,4,0.0,0.0,2,0.0,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4,0,1,0.0,1.0,0,0,0.0,13,2.0,2.0,0.0,0.0,0.0,0
33,7.0,0,0,3,-4.45,21,1.0,1.0,2,0.0,0,0,0,0.0,0.0,2.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21,0,0,0.0,2.0,6,0,0.0,51,1.0,3.0,2.0,1.0,2.0,0
34,7.0,6,0,2,-5.5,28,0.0,0.0,10,0.0,0,0,0,0.0,0.0,2.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0,0,2.0,2.0,4,0,0.0,106,0.0,4.0,4.0,5.0,4.0,0
35,6.0,0,0,3,-5.67,153,0.0,0.0,41,0.0,0,0,0,0.0,0.0,2.0,12,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138,0,0,0.0,10.0,25,11,0.0,424,7.0,25.0,18.0,10.0,19.0,5
36,10.0,0,0,2,-5.06,19,0.0,0.0,6,0.0,0,0,0,0.0,0.0,2.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,0,2.0,2.0,2,0,0.0,58,0.0,2.0,2.0,5.0,2.0,0
37,8.0,0,0,2,-6.04,126,0.0,1.0,35,2.0,19,0,0,0.0,0.0,7.0,4,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,112,0,2,6.0,7.0,20,6,0.0,370,1.0,15.0,12.0,14.0,16.0,1
38,5.0,0,0,2,-4.97,14,0.0,0.0,3,1.0,0,0,0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0,0.0,3.0,2,0,0.0,43,1.0,3.0,2.0,7.0,2.0,0
39,6.0,0,0,2,-4.91,11,0.0,0.0,4,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0,0.0,2.0,2,0,0.0,44,0.0,2.0,2.0,4.0,2.0,0
40,9.0,0,0,3,-5.1,18,0.0,1.0,1,0.0,1,0,0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,0,0.0,1.0,3,0,1.0,45,1.0,2.0,1.0,2.0,3.0,0
41,4.0,0,0,1,-3.56,22,0.0,0.0,25,0.0,25,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,11,0,21,0.0,2.0,1,0,0.0,115,5.0,6.0,1.0,0.0,1.0,0
42,5.0,0,0,1,-4.42,14,0.0,0.0,4,0.0,0,0,0,0.0,0.0,2.0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10,0,0,2.0,3.0,2,0,0.0,40,1.0,3.0,2.0,5.0,2.0,0
43,4.0,0,0,1,-3.81,4,0.0,0.0,1,1.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0.0,1.0,1,0,0.0,14,0.0,1.0,1.0,1.0,1.0,0
44,1.0,0,0,1,-1.5,2,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2,0,0,0.0,1.0,0,0,0.0,4,2.0,2.0,0.0,0.0,0.0,0
45,4.0,0,0,2,-5.53,22,0.0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,0,0.0,3.0,3,0,0.0,63,2.0,5.0,3.0,3.0,3.0,0
