apls_count,atss_count,bloc_count,bloc_count_relative,cloc_count,cloc_count_relative,dpt_count,etp_count,file,loc_count,nbeh_count,nbeh_count_relative,nbl_count,ncd_count,ncmd_count,nco_count,ndk_count,ndk_count_occurrences,ndm_count,ndm_count_occurrences,nemd_count,nemd_count_relative,nfl_count,nfmd_count,nfmd_count_relative,nicd_count,nierr_count,nimpp_count,nimpr_count,nimpt_count,ninc_count,nincr_count,ninct_count,nincv_count,niu_count,nkeys_count,nlk_count,nlo_count,nlp_count,nmd_count,nmo_count,nnnv_count,nnnv_count_relative,nnwv_count,nnwv_count_relative,npl_count,npnn_count,npnn_count_relative,npun_count,npun_count_relative,npvr_count,nrgv_count,nrl_count,nrvr_count,nscm_count,nsh_count,ntkn_count,ntnn_count,ntnn_count_relative,nts_count,ntun_count,ntun_count_relative,ntvr_count,nun_count,nun_count_relative,nvr_count,y
,16,0,0,1,0.01,4,-5.81,ceph__ceph-ansible__89227cdb3ab2fcff12e99f6e1b2eb7ba0a7e1390__roles_ceph-container-common_tasks_pre_requisites_prerequisites.yml,100,0,0,3,9,0,7,0,0,0,0,3,0.5,0,0,0,0,0,0,0,0,0,0,2,0,,84,0,0,0,3,0,25,1,0,0,,,,,,,,,,0,0,239,0,0,6,6,1,1,23,0.92,,1
,4,0,0,3,0.1,2,-5.63,iiab__iiab__24e421f0a49763e17c737c98df2edfb765bfee77__roles_network_tasks_NM-debian.yml,29,0,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,29,0,7,0,6,0,10,1,0,0,,,,,,,,,,0,2,101,0,0,8,8,1,3,10,1,,1
,8,0,0,0,0,2,-5.38,ceph__ceph-ansible__638604929b2105c1c224a2858df90d976f91761e__roles_ceph-mgr_tasks_pre_requisite.yml,23,0,0,0,11,0,3,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,,22,0,0,0,2,0,4,0.67,2,0.33,,,,,,,,,,0,0,112,0,0,3,3,1,4,4,0.67,,1
,5,0,0,7,0.39,1,-4.88,gc3-uzh-ch__elasticluster__70d89a99b698ac97001b69b502029346238d97aa__elasticluster_share_playbooks_roles_gridengine_tasks_clients.yml,18,0,0,0,7,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,15,0,0,2,0,0,4,1,0,0,,,,,,,,,,0,0,53,0,0,4,4,1,2,4,1,,1
,87,0,0,0,0,4,-5.97,oVirt__ovirt-ansible__b2ac61f97afbc6e102d85a16448f1f94278520fe__roles_ovirt-vm-infra_tasks_main.yml,87,1,1,1,43,0,2,0,0,0,0,2,1,19,0,0,0,0,0,0,0,0,1,0,0,,80,0,1,5,0,0,9,0.75,3,0.25,,,,,,,,,,0,0,303,1,1,1,0,0,33,12,1,,1
,5,0,0,7,0.09,2,-7.05,iiab__iiab__cba3d10e1fb0836ea3fb438d31f739d779e76014__roles_sugarizer_tasks_main.yml,77,0,0,0,28,1,6,1,2,0,0,5,0.26,0,0,0,0,0,0,0,0,0,0,0,0,,60,0,11,5,10,0,16,1,0,0,,,,,,,,,,0,3,326,0,0,14,14,1,14,14,0.88,,1
,4,0,0,9,0.39,2,-5.29,openfun__arnold__baee428c34d9d6ab10b159444879645d78c202ab__tasks_get_vault_for_app.yml,23,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,,23,0,3,0,3,0,5,1,0,0,,,,,,,,,,0,0,86,1,0.17,6,5,0.83,10,5,1,,1
,5,0,0,5,0.14,2,-5.96,rak8s__rak8s__65ecc13aee327c7486b290342e7bec3aef549b52__roles_kubeadm_tasks_main.yml,36,0,0,0,2,0,1,0,0,0,0,1,0.11,0,0,0,0,1,0,0,0,0,0,0,0,,33,0,0,1,5,0,9,0.9,1,0.1,,,,,,,,,,0,2,102,0,0,8,8,1,2,10,1,,1
,4,0,0,2,0.02,2,-6.84,iiab__iiab__b42858c62979b272e71ff9adcfaf5576f1665733__roles_wordpress_tasks_install.yml,89,0,0,0,25,2,1,0,0,0,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,,59,0,3,1,11,0,18,1,0,0,,,,,,,,,,0,1,336,0,0,18,18,1,19,18,1,,1
,12,0,0,0,0,2,-5.72,CentOS-PaaS-SIG__linchpin__2de6775de1dfcf91ed45f2472a08a69c4d892f5d__linchpin_provision_roles_openstack_tasks_provision_os_server.yml,168,0,0,0,111,0,15,0,0,0,0,1,0.06,69,0,0,0,0,0,0,0,0,0,0,0,,161,0,6,7,4,0,15,0.79,4,0.21,,,,,,,,,,0,0,722,0,0,15,13,0.87,47,15,0.79,,1
,6,0,0,0,0,2,-6.07,dev-sec__ansible-os-hardening__ef28e7d01e3f9efe65a6da9695b512d522cb6d87__tasks_sysctl.yml,35,0,0,0,18,1,9,0,0,0,0,2,0.22,0,0,0,0,0,0,0,0,0,0,0,0,,35,0,7,2,4,0,7,0.78,2,0.22,,,,,,,,,,0,0,169,0,0,7,7,1,5,7,0.78,,1
,11,0,0,38,0.7,2,-6.32,cloudalchemy__ansible-grafana__69d16c5634056481498057f798b8d05f565e70ef__tasks_dashboards.yml,54,0,0,0,15,0,2,0,0,0,0,4,0.44,1,0,0,0,0,0,0,0,0,0,0,0,,52,1,0,4,5,0,5,1,0,0,,,,,,,,,,1,0,173,0,0,5,5,1,11,5,1,,1
,11,0,0,0,0,2,-5.87,iiab__iiab__57a708e9502c936d7ef444f2bf71e4bf1bc47c11__roles_transmission_tasks_main.yml,86,0,0,0,29,0,2,0,0,0,0,3,0.27,0,0,0,0,2,0,0,0,0,0,0,0,,80,0,3,3,6,0,11,0.92,1,0.08,,,,,,,,,,0,1,266,0,0,8,8,1,17,9,0.75,,1
,4,0,0,0,0,1,-6.24,CSCfi__fgci-ansible__a20ca874079c8f41bca042c1015f86d3a530abf0__roles_ip_forwarder_tasks_main.yml,30,0,0,0,9,3,4,1,1,0,0,1,0.11,0,0,0,0,1,0,0,0,0,0,0,0,,30,0,1,0,4,0,8,1,0,0,,,,,,,,,,0,3,185,0,0,8,8,1,5,8,1,,1
,8,0,0,10,0.23,2,-5.5,openfun__arnold__7cb3f35b7f73e83ae8e4105a6d7ab53529ac78c4__tasks_create_app_htpasswd.yml,43,0,0,0,13,1,0,0,0,0,0,4,0.4,10,0,0,0,1,0,0,0,0,0,0,0,,33,1,0,4,5,0,6,0.86,1,0.14,,,,,,,,,,0,1,154,0,0,6,6,1,10,7,1,,1
,5,0,0,0,0,2,-3.5,rhevm-qe-automation__ovirt-ansible__38df5bec196f7333affc22dd872638888a56d1e9__roles_ovirt-guest-agent_handlers_main.yaml,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,0,0,0,1,0,0,0,2,1,,,,,,,,,,0,0,16,0,0,1,1,1,1,2,1,,1
,9,0,0,0,0,2,-4.93,nginxinc__ansible-role-nginx__91bd842e9e6d64f7684aba7cd9861252117c9c26__tasks_main.yml,37,0,0,1,27,0,8,0,0,0,0,1,0.25,0,0,0,0,0,0,0,17,0,0,0,0,,37,0,9,0,1,0,1,1,0,0,,,,,,,,,,0,0,110,3,0.75,4,1,0.25,0,1,1,,1
,7,0,0,0,0,3,-6.31,redhat-cop__casl-ansible__7e5c5770c2c2e371337d54a1e0898e21a7665aaf__playbooks_openshift_prep-inventory.yml,71,0,0,0,21,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,49,1,0,0,1,0,10,1,0,0,,,,,,,,,,0,0,222,0,0,10,10,1,19,10,1,,1
,6,0,0,3,0.08,2,-5.85,dev-sec__ansible-os-hardening__7a6b1f7d66580a8dfd4ec6f7e278235bd29fcfb7__tasks_yum.yml,36,0,0,0,7,0,0,0,0,0,0,2,0.25,1,0,0,0,0,0,0,0,0,0,0,0,,31,0,0,2,5,0,6,0.75,2,0.25,,,,,,,,,,0,1,102,0,0,6,6,1,5,8,1,,1
,6,0,0,0,0,2,-4.81,gantsign__ansible-role-visual-studio-code__b268e1217f6f3df3825fee71a9d727b5616b51c9__tasks_install-apt.yml,23,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,21,0,0,0,3,0,6,0.86,1,0.14,,,,,,,,,,0,0,63,0,0,4,4,1,0,7,1,,1
,13,0,0,0,0,3,-5.05,ansible-ThoTeam__nexus3-oss__f37b6f4e9409aee8d96c982625ee23503a30fdda__tasks_call_script.yml,13,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,1,0,0,0,1,1,,,,,,,,,,0,0,47,0,0,1,1,1,9,1,1,,1
,4,0,0,1,0.04,2,-5.21,iiab__iiab__0a84a5e9a70d789335ead054b24f431c73ad87cc__roles_network_tasks_sysd-netd-debian.yml,24,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,24,0,3,0,3,0,7,1,0,0,,,,,,,,,,0,0,77,0,0,6,6,1,0,7,1,,1
,4,0,0,3,0.19,2,-5.44,geerlingguy__drupal-vm__7b7ac00c9f04ea57edcf33077ffd07336be29026__provisioning_tasks_www.yml,16,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,0,0,0,3,0,4,1,0,0,,,,,,,,,,0,0,58,0,0,4,4,1,2,4,1,,1
,12,0,0,0,0,2,-5.68,CentOS-PaaS-SIG__linchpin__8b2baa5aec146d64c7c83b8e4f3ce23e4c25b84f__linchpin_provision_roles_openstack_tasks_provision_os_server.yml,197,0,0,0,146,0,27,0,0,0,0,1,0.06,85,0,0,0,0,0,0,0,0,0,0,0,,197,0,22,8,4,0,17,0.77,5,0.23,,,,,,,,,,0,0,922,0,0,17,12,0.71,45,14,0.64,,1
