,atss_count,bloc_count,bloc_count_relative,cloc_count,cloc_count_relative,dpt_count,etp_count,loc_count,nbeh_count,nbeh_count_relative,nbl_count,ncmd_count,ndk_count,ndk_count_occurrences,ndm_count,ndm_count_occurrences,nemd_count_relative,nfl_count,nfmd_count,nfmd_count_relative,nicd_count,nierr_count,nimpr_count,nimpt_count,ninc_count,nincr_count,ninct_count,nincv_count,nlk_count,nlo_count,nlp_count,nmd_count,nnnv_count_relative,nnwv_count,nnwv_count_relative,nsh_count,ntnn_count,ntun_count_relative,nun_count_relative,clusters
21,4.0,0,0.0,0,0.0,1,-3.48,18,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0,2,0.0,1.0,1.0,0,0.0,0.0,0.0,1.0,1.0,1
22,4.0,3,0.09,0,0.0,2,-5.44,35,0.0,0.0,0.0,2.0,0,0,0.0,0.0,0.22,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,4.0,0.83,1,0.17,2.0,4.0,0.5,1.0,4
23,11.0,1,0.09,0,0.0,1,-4.88,11,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.5,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,1.0,1.0,1
25,6.0,0,0.0,0,0.0,2,-6.01,40,0.0,0.0,0.0,4.0,0,0,0.0,0.0,0.0,1,0.0,0.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0.0,4.0,1.0,0,0.0,1.0,0.0,1.0,1.0,4
26,9.0,0,0.0,0,0.0,2,-5.88,44,0.0,0.0,0.0,2.0,0,0,0.0,0.0,0.38,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,3.0,4.0,1.0,0,0.0,0.0,0.0,1.0,1.0,4
27,8.0,0,0.0,0,0.0,2,-4.76,25,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.5,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.0,1.0,1.0,0,0.0,0.0,0.0,1.0,1.0,0
28,15.0,0,0.0,0,0.0,3,-5.06,15,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,1.0,0,0.0,0.0,0.0,1.0,1.0,1
29,5.0,0,0.0,0,0.0,1,-5.37,16,0.0,0.0,0.0,3.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,1.0,1.0,0,0.0,0.0,0.0,1.0,1.0,1
30,11.0,0,0.0,0,0.0,3,-4.72,11,0.0,0.0,1.0,0.0,0,0,0.0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,1.0,1
31,4.0,0,0.0,0,0.0,3,-5.62,43,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.09,0,0.0,0.0,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1.0,3.0,1.0,0,0.0,5.0,0.0,1.0,1.0,4
32,2.0,0,0.0,0,0.0,1,-2.93,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,0.0,1.0,0.0,0,0.0,0.0,2.0,0.0,0.0,1
33,7.0,0,0.0,0,0.0,3,-4.45,21,1.0,1.0,1.0,0.0,0,0,0.0,0.0,0.5,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,2.0,1.0,0,0.0,0.0,1.0,0.67,0.33,1
34,7.0,6,0.21,0,0.0,2,-5.5,28,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.33,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,2.0,1.0,0,0.0,0.0,0.0,1.0,1.0,4
35,6.0,0,0.0,0,0.0,3,-5.67,153,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.08,12,1.0,0.04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,10.0,0.69,11,0.31,0.0,7.0,0.72,0.53,3
36,10.0,0,0.0,0,0.0,2,-5.06,19,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.5,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,2.0,1.0,0,0.0,0.0,0.0,1.0,1.0,1
37,8.0,0,0.0,0,0.0,2,-6.04,126,0.0,0.0,1.0,2.0,0,0,0.0,0.0,0.33,4,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,6.0,7.0,0.77,6,0.23,0.0,1.0,0.8,0.62,3
38,5.0,0,0.0,0,0.0,2,-4.97,14,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3.0,1.0,0,0.0,0.0,1.0,0.67,1.0,1
39,6.0,0,0.0,0,0.0,2,-4.91,11,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2.0,1.0,0,0.0,0.0,0.0,1.0,1.0,1
40,9.0,0,0.0,0,0.0,3,-5.1,18,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.5,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,1.0,0,0.0,1.0,1.0,0.5,1.0,1
41,4.0,0,0.0,0,0.0,1,-3.56,22,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0,21,0.0,2.0,1.0,0,0.0,0.0,5.0,0.17,1.0,0
42,5.0,0,0.0,0,0.0,1,-4.42,14,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.4,0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,2.0,3.0,1.0,0,0.0,0.0,1.0,0.67,1.0,1
43,4.0,0,0.0,0,0.0,1,-3.81,4,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,1.0,0,0.0,0.0,0.0,1.0,1.0,1
44,1.0,0,0.0,0,0.0,1,-1.5,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0,0.0,0.0,2.0,0.0,0.0,1
45,4.0,0,0.0,0,0.0,2,-5.53,22,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3.0,1.0,0,0.0,0.0,2.0,0.6,1.0,1
46,4.0,0,0.0,0,0.0,2,-3.64,8,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,1.0,1.0,0,0.0,0.0,0.0,1.0,1.0,1
47,17.0,0,0.0,0,0.0,3,-5.23,17,1.0,1.0,1.0,0.0,0,0,0.0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0.5,1
48,37.0,0,0.0,0,0.0,3,-5.57,38,0.0,0.0,1.0,0.0,0,0,0.0,0.0,1.0,8,0.0,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.83,1,0.17,0.0,0.0,1.0,1.0,4
49,5.0,0,0.0,0,0.0,2,-5.22,15,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2.0,1.0,0,0.0,0.0,0.0,1.0,1.0,1
50,6.0,7,0.22,0,0.0,2,-5.45,32,0.0,0.0,0.0,1.0,1,4,0.0,0.0,0.17,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,3.0,0.83,1,0.17,3.0,0.0,1.0,1.0,4
51,4.0,0,0.0,0,0.0,2,-3.81,4,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,1.0,0,0.0,1.0,0.0,1.0,1.0,1
52,2.0,0,0.0,0,0.0,1,-4.68,14,0.0,0.0,0.0,2.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2.0,1.0,0,0.0,0.0,0.0,1.0,1.0,1
