,atss_count,bloc_count_relative,cloc_count_relative,dpt_count,etp_count,loc_count,nbeh_count_relative,nbl_count,ncd_count,ncmd_count,nco_count,ndk_count,ndk_count_occurrences,ndm_count,ndm_count_occurrences,nemd_count_relative,nfl_count,nfmd_count_relative,nicd_count,nierr_count,nimpr_count,nimpt_count,ninc_count,nincr_count,ninct_count,nincv_count,nkeys_count,nlk_count,nlo_count,nlp_count,nmd_count,nnnv_count_relative,nnwv_count_relative,nsh_count,ntkn_count,ntnn_count_relative,nts_count,ntun_count_relative,ntvr_count,nun_count_relative,clusters
1240,7.0,0.02,0.0,2,-5.49,48,0.0,0.0,9,1.0,0,0,0,0.0,0.0,0.12,6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0,0,1.0,5.0,0.94,0.06,0.0,136,0.0,7.0,1.0,5.0,1.0,0
1241,7.0,0.0,0.0,2,-5.44,134,0.0,0.0,27,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,116,0,0,0.0,1.0,1.0,0.0,0.0,399,0.0,20.0,0.7,5.0,0.7,3
1242,4.0,0.0,0.0,2,-6.96,84,0.0,0.0,10,5.0,6,0,0,0.0,0.0,0.09,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,0,0,2.0,9.0,1.0,0.0,1.0,331,0.0,20.0,1.0,5.0,1.0,2
1243,4.0,0.0,0.0,2,-4.73,21,0.0,0.0,10,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21,0,0,0.0,2.0,0.83,0.17,0.0,73,0.0,6.0,1.0,6.0,1.0,1
1244,1.0,0.0,0.0,1,-2.0,1,0.0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0.0,1.0,0.0,0.0,0.0,4,1.0,1.0,0.0,1.0,0.0,1
1245,9.0,0.0,0.0,3,-6.28,79,0.0,0.0,31,0.0,10,0,0,0.0,0.0,0.18,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72,0,11,2.0,3.0,0.86,0.14,0.0,270,0.22,9.0,0.78,16.0,1.0,2
1246,19.0,0.0,0.0,3,-5.62,58,0.0,3.0,21,0.0,9,0,0,0.0,0.0,1.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,0,3,0.0,0.0,0.8,0.2,0.0,185,0.0,3.0,1.0,8.0,1.0,0
1247,10.0,0.0,0.0,2,-5.0,20,0.0,0.0,11,0.0,3,0,0,0.0,0.0,0.5,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,1,2.0,2.0,1.0,0.0,0.0,71,0.0,2.0,1.0,4.0,1.0,1
1248,6.0,0.0,0.0,2,-5.64,43,0.0,0.0,9,0.0,1,0,0,0.0,0.0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,0,1,0.0,4.0,1.0,0.0,0.0,125,0.0,7.0,1.0,3.0,1.0,0
1249,5.0,0.0,0.0,3,-6.26,74,0.0,0.0,16,0.0,0,0,0,0.0,0.0,0.21,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,0,0,4.0,4.0,1.0,0.0,0.0,238,0.07,15.0,0.8,11.0,0.87,2
